"","smrin","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smrdlgth","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smrin",1,0.158046528697014,0.0353909619152546,-0.154566898941994,-0.189240276813507,0.0983200967311859,-0.308375090360641,0.263467878103256,0.225244730710983,0.386415034532547,0.0943396463990211,-0.011587779968977,0.0205017309635878,-0.0493716672062874,-0.0691492408514023,0.34979835152626,-0.131275475025177,0.154594913125038,-0.101418733596802,-0.196071475744247,-0.264452010393143,-0.366429567337036,0.248122096061707,-0.109205968677998,-0.223580181598663,-0.287401556968689,-0.115454196929932,0.345481544733047,0.376218289136887,-0.130170226097107,0.299146175384521,-0.16787326335907,-0.128545746207237,-0.341033905744553,-0.142496809363365,-0.117942921817303,-0.173433363437653,-0.215440556406975,-0.13392148911953,-0.173685505986214,-0.0250711236149073,-0.0187483094632626,0.0293934196233749,0.204114943742752,-0.386415034532547,-0.415251433849335
"sme2mprt",0.158046528697014,1,-0.0882882252335548,0.253652900457382,-0.381573975086212,0.985300242900848,0.223441392183304,0.158050373196602,-0.112832367420197,0.138461291790009,-0.109639212489128,-0.0534241572022438,0.337366551160812,0.0109331989660859,0.249930143356323,0.225693002343178,0.142089083790779,-0.252400279045105,-0.165686741471291,-0.230739489197731,-0.581396400928497,-0.297476053237915,-0.0508564226329327,0.214208409190178,-0.38064256310463,-0.359344452619553,-0.237564563751221,-0.1632249802351,0.375414073467255,0.717686772346497,0.238707587122917,-0.785752654075623,0.245848700404167,0.137892305850983,0.23296894133091,0.281499981880188,0.145603388547897,0.187914729118347,-0.563501179218292,0.149092197418213,0.0359331406652927,-0.0815656334161758,0.924735069274902,0.422505736351013,-0.138461291790009,-0.319765329360962
"smchmprs",0.0353909619152546,-0.0882882252335548,1,-0.229274928569794,-0.419208526611328,-0.113416470587254,-0.458320647478104,0.108035184442997,0.762794554233551,0.383361637592316,0.34649869799614,-0.0872594639658928,0.401994943618774,0.00403900863602757,0.35738730430603,0.577625393867493,0.342721551656723,0.228109195828438,0.261232614517212,0.355384439229965,0.0906273126602173,-0.011564752086997,0.665178656578064,0.305290549993515,-0.389753788709641,-0.436888098716736,0.144914343953133,0.475285768508911,0.39935240149498,-0.307603031396866,0.646068930625916,0.0445583909749985,0.223819807171822,-0.161063820123672,0.217496067285538,0.206290990114212,0.257228404283524,0.0702693611383438,-0.0649552866816521,0.254998654127121,-0.0359408520162106,0.14173312485218,-0.13186177611351,0.356054276227951,-0.383361637592316,-0.183071583509445
"smntrart",-0.154566898941994,0.253652900457382,-0.229274928569794,1,-0.111116997897625,0.290364772081375,0.706525385379791,-0.0679415389895439,-0.228237316012383,-0.372442454099655,-0.201150730252266,-0.0333900973200798,0.0334958955645561,-0.037561196833849,0.217302441596985,-0.326648443937302,0.146220609545708,-0.999967396259308,-0.776876509189606,0.0484934076666832,-0.0660461932420731,-0.215993642807007,-0.0755208656191826,0.166128784418106,-0.0895933583378792,-0.0348315574228764,-0.0805541053414345,-0.411447644233704,-0.268882900476456,0.584158062934875,-0.282984256744385,-0.150542929768562,0.286024659872055,0.326441049575806,0.29435259103775,0.320428758859634,0.274843752384186,0.353950798511505,-0.0895952135324478,0.27902016043663,0.139717176556587,-0.853254079818726,0.323845446109772,0.0194631032645702,0.372442454099655,0.232207208871841
"smnumgps",-0.189240276813507,-0.381573975086212,-0.419208526611328,-0.111116997897625,1,-0.373585522174835,0.167848467826843,-0.336562365293503,-0.485384732484818,-0.389469295740128,-0.0862659588456154,-0.0625514388084412,-0.631767451763153,-0.103133991360664,-0.455297380685806,-0.590659499168396,-0.425036668777466,0.11111294478178,-0.0292387343943119,-0.201753854751587,0.173157751560211,0.571497917175293,-0.513785779476166,-0.437159240245819,0.940904319286346,0.919549345970154,-0.0163893699645996,-0.28040137887001,-0.526282370090485,-0.207464665174484,-0.669878542423248,0.406971633434296,-0.424701362848282,-0.131499469280243,-0.410609841346741,-0.41622468829155,-0.381701588630676,-0.282188892364502,0.314830869436264,-0.385289460420609,-0.0971776843070984,0.0390543416142464,-0.360094636678696,-0.860422313213348,0.389469295740128,0.324260264635086
"smmaprt",0.0983200967311859,0.985300242900848,-0.113416470587254,0.290364772081375,-0.373585522174835,1,0.270902991294861,0.135063424706459,-0.134795069694519,0.0993720665574074,-0.129320040345192,-0.0556501634418964,0.322182387113571,-0.0191849935799837,0.250788003206253,0.184809446334839,0.144484207034111,-0.289002239704132,-0.184012919664383,-0.231039986014366,-0.483759343624115,-0.295110374689102,-0.0661716386675835,0.214160576462746,-0.371010929346085,-0.345650970935822,-0.216746032238007,-0.202947035431862,0.339851230382919,0.756138384342194,0.200554475188255,-0.782387793064117,0.251720190048218,0.175996392965317,0.239913359284401,0.292276948690414,0.157365947961807,0.208897605538368,-0.572596192359924,0.162832349538803,0.0899302214384079,-0.0998675003647804,0.972943961620331,0.410409539937973,-0.0993720665574074,-0.28746709227562
"smexncrt",-0.308375090360641,0.223441392183304,-0.458320647478104,0.706525385379791,0.167848467826843,0.270902991294861,1,-0.234589889645576,-0.535516619682312,-0.659204721450806,-0.334695219993591,-0.0356161072850227,0.0727960616350174,0.0121112922206521,0.2515809237957,-0.568721055984497,0.259334802627563,-0.705103754997253,-0.361633211374283,0.176320418715477,0.03639892116189,0.128010869026184,-0.445777297019958,0.274440854787827,0.202849134802818,0.295491337776184,-0.0490940324962139,-0.912895977497101,-0.522064864635468,0.758147597312927,-0.479778677225113,-0.0589554868638515,0.387039631605148,0.607321798801422,0.400584250688553,0.396170258522034,0.39153590798378,0.584526777267456,-0.0430519171059132,0.394090801477432,0.0874375179409981,-0.449540466070175,0.321919858455658,-0.170496806502342,0.659204721450806,0.406514853239059
"sm550nrm",0.263467878103256,0.158050373196602,0.108035184442997,-0.0679415389895439,-0.336562365293503,0.135063424706459,-0.234589889645576,1,0.175620928406715,0.338897734880447,-0.0161791648715734,-0.0690062046051025,0.120873309671879,-0.0446072220802307,-0.0178751163184643,0.350843548774719,-0.00977764278650284,0.0681744292378426,-0.0885185375809669,-0.0865707993507385,-0.118598774075508,-0.354875028133392,0.179415628314018,-0.00230577378533781,-0.33812204003334,-0.334546744823456,-0.0102443816140294,0.301027327775955,0.371892839670181,-0.0560825131833553,0.327577620744705,-0.220283538103104,-0.0267570968717337,-0.223742485046387,-0.0374489054083824,-0.0502809695899487,-0.0568151883780956,-0.0994679480791092,-0.1812514513731,-0.0574749149382114,-0.00305436435155571,-0.0607816427946091,0.111371852457523,0.408890783786774,-0.338897734880447,-0.253825306892395
"smgnsdtc",0.225244730710983,-0.112832367420197,0.762794554233551,-0.228237316012383,-0.485384732484818,-0.134795069694519,-0.535516619682312,0.175620928406715,1,0.439565539360046,0.365003168582916,-0.066780261695385,0.256169945001602,-0.0208099093288183,0.250665605068207,0.575392723083496,0.242495536804199,0.226733908057213,0.186503425240517,0.258989155292511,0.14246928691864,-0.26815789937973,0.956939220428467,0.208795785903931,-0.499240607023239,-0.570782721042633,0.157788991928101,0.593412756919861,0.42711991071701,-0.381136178970337,0.618915379047394,0.0151623096317053,0.137170627713203,-0.231687471270561,0.129685416817665,0.11220546066761,0.156402602791786,-0.0232504177838564,-0.0621549226343632,0.156240195035934,-0.000331740739056841,0.115082398056984,-0.148531273007393,0.424153417348862,-0.439565539360046,-0.271446347236633
"smunmprt",0.386415034532547,0.138461291790009,0.383361637592316,-0.372442454099655,-0.389469295740128,0.0993720665574074,-0.659204721450806,0.338897734880447,0.439565539360046,1,0.277927279472351,-0.0084588248282671,0.286363333463669,0.0328857935965061,-0.143794134259224,0.899974346160889,-0.293584525585175,0.370741456747055,-0.000600809929892421,-0.383484393358231,-0.208245784044266,-0.18347279727459,0.422134071588516,-0.282193452119827,-0.382824093103409,-0.460819035768509,-0.029167678207159,0.699565172195435,0.929947435855865,-0.33913853764534,0.757908582687378,-0.2750284075737,-0.362622886896133,-0.708161354064941,-0.381378501653671,-0.318900287151337,-0.411400198936462,-0.531220555305481,-0.17539656162262,-0.411009550094604,-0.031380407512188,0.154111206531525,0.0531124696135521,0.401024907827377,-1,-0.547005534172058
"sm350nrm",0.0943396463990211,-0.109639212489128,0.34649869799614,-0.201150730252266,-0.0862659588456154,-0.129320040345192,-0.334695219993591,-0.0161791648715734,0.365003168582916,0.277927279472351,1,-0.0142464423552155,-0.0229327902197838,-0.0561534874141216,-0.00974925421178341,0.275011986494064,-0.0671420395374298,0.199940413236618,0.0466170385479927,-0.0647589713335037,-0.0333547368645668,0.104633055627346,0.316134989261627,-0.0686999186873436,-0.0686527863144875,-0.0930767059326172,0.0468429513275623,0.336739629507065,0.248766154050827,-0.265314817428589,0.238293990492821,0.0610372684895992,-0.107804954051971,-0.297961592674255,-0.109978072345257,-0.0896662399172783,-0.124260105192661,-0.207816779613495,-0.00643730582669377,-0.122920297086239,-0.0245788414031267,0.103856690227985,-0.149466052651405,-0.00437108194455504,-0.277927279472351,-0.133734479546547
"smrdlgth",-0.011587779968977,-0.0534241572022438,-0.0872594639658928,-0.0333900973200798,-0.0625514388084412,-0.0556501634418964,-0.0356161072850227,-0.0690062046051025,-0.066780261695385,-0.0084588248282671,-0.0142464423552155,1,-0.0186984557658434,-0.0850334540009499,-0.0598824992775917,-0.0431845299899578,-0.065889798104763,0.0333900973200798,0.0347257032990456,-0.0552049651741982,-0.020034059882164,-0.065889798104763,-0.0494173504412174,-0.0632185861468315,-0.0311641022562981,-0.0391777157783508,-0.00816037226468325,0.0409585200250149,-0.0151368444785476,-0.0538693591952324,-0.0454105362296104,-0.0414037220180035,-0.0614377819001675,0.0244860723614693,-0.0574309714138508,0.00200347113423049,-0.0592117756605148,0.0115752341225743,-0.0779102295637131,-0.0609925799071789,-0.0828074514865875,0.0511981509625912,-0.056095365434885,-0.0222622659057379,0.0084588248282671,0.0823622420430183
"smmncpb",0.0205017309635878,0.337366551160812,0.401994943618774,0.0334958955645561,-0.631767451763153,0.322182387113571,0.0727960616350174,0.120873309671879,0.256169945001602,0.286363333463669,-0.0229327902197838,-0.0186984557658434,1,0.150213956832886,0.735229134559631,0.591817557811737,0.696409106254578,-0.0333401076495647,0.218888163566589,0.48995703458786,-0.105295941233635,-0.00143628963269293,0.205198466777802,0.704581797122955,-0.540855944156647,-0.51670229434967,0.00871877651661634,-0.0765209272503853,0.428600281476974,0.348935931921005,0.737895429134369,-0.303662657737732,0.662757039070129,0.249576330184937,0.65128630399704,0.669026434421539,0.62509024143219,0.565274357795715,-0.268735438585281,0.62615704536438,0.0179498642683029,0.0537095218896866,0.30377060174942,0.603263378143311,-0.286363333463669,-0.181155756115913
"sme1mmrt",-0.0493716672062874,0.0109331989660859,0.00403900863602757,-0.037561196833849,-0.103133991360664,-0.0191849935799837,0.0121112922206521,-0.0446072220802307,-0.0208099093288183,0.0328857935965061,-0.0561534874141216,-0.0850334540009499,0.150213956832886,1,-0.0979857295751572,0.0656068995594978,0.0968770906329155,0.0371236875653267,0.133083254098892,0.0417506545782089,0.0185096506029367,0.0143170300871134,-0.0198181290179491,0.0768578052520752,-0.0945168808102608,-0.0803744941949844,0.0965950638055801,-0.0701692253351212,0.0547685995697975,0.0964702293276787,0.0717267021536827,0.167696744203568,0.0837498232722282,0.158368483185768,0.0842952728271484,-0.0921481475234032,0.0982882753014565,0.0912062674760818,0.653821170330048,0.103934779763222,0.184861451387405,0.128358423709869,-0.0564338266849518,0.109711438417435,-0.0328857935965061,0.0566244088113308
"smsflgth",-0.0691492408514023,0.249930143356323,0.35738730430603,0.217302441596985,-0.455297380685806,0.250788003206253,0.2515809237957,-0.0178751163184643,0.250665605068207,-0.143794134259224,-0.00974925421178341,-0.0598824992775917,0.735229134559631,-0.0979857295751572,1,0.205581426620483,0.868707895278931,-0.21673184633255,0.141860440373421,0.67966091632843,0.0253663305193186,0.00547773996368051,0.209547251462936,0.892160594463348,-0.378265589475632,-0.344249546527863,-0.121427029371262,-0.219032794237137,0.0166497118771076,0.408068120479584,0.399681478738785,-0.214648097753525,0.880948066711426,0.440705120563507,0.875568687915802,0.954258680343628,0.842954516410828,0.7831751704216,-0.357943594455719,0.843791723251343,0.0380688235163689,-0.091637872159481,0.258737623691559,0.40742814540863,0.143794134259224,0.0188947040587664
"smestlbs",0.34979835152626,0.225693002343178,0.577625393867493,-0.326648443937302,-0.590659499168396,0.184809446334839,-0.568721055984497,0.350843548774719,0.575392723083496,0.899974346160889,0.275011986494064,-0.0431845299899578,0.591817557811737,0.0656068995594978,0.205581426620483,1,0.107715986669064,0.325575709342957,0.127973303198814,-0.0487563498318195,-0.185090184211731,-0.192858010530472,0.519898533821106,0.114401012659073,-0.557640969753265,-0.624546766281128,0.00194451189599931,0.599727749824524,0.925353467464447,-0.188345313072205,0.954566597938538,-0.316388815641403,0.02518973313272,-0.468315631151199,0.00553006120026112,0.0354523994028568,-0.0227265898138285,-0.17090205848217,-0.248519822955132,-0.0223920810967684,-0.0397649593651295,0.171155512332916,0.138134688138962,0.579058587551117,-0.899974346160889,-0.531028985977173
"smmppd",-0.131275475025177,0.142089083790779,0.342721551656723,0.146220609545708,-0.425036668777466,0.144484207034111,0.259334802627563,-0.00977764278650284,0.242495536804199,-0.293584525585175,-0.0671420395374298,-0.065889798104763,0.696409106254578,0.0968770906329155,0.868707895278931,0.107715986669064,1,-0.145082652568817,0.296683669090271,0.858856737613678,0.151743158698082,-0.00666307890787721,0.174398005008698,0.989095687866211,-0.366392940282822,-0.32451269030571,0.0607292167842388,-0.274559259414673,-0.131834581494331,0.362587511539459,0.340954214334488,-0.0319475084543228,0.972179472446442,0.614500463008881,0.971528232097626,0.900460243225098,0.974832832813263,0.905942499637604,-0.114320941269398,0.974701941013336,0.0206400658935308,0.00254360656253994,0.151892423629761,0.383583664894104,0.293584525585175,0.126933604478836
"smnterrt",0.154594913125038,-0.252400279045105,0.228109195828438,-0.999967396259308,0.11111294478178,-0.289002239704132,-0.705103754997253,0.0681744292378426,0.226733908057213,0.370741456747055,0.199940413236618,0.0333900973200798,-0.0333401076495647,0.0371236875653267,-0.21673184633255,0.325575709342957,-0.145082652568817,1,0.777866005897522,-0.0475572980940342,0.0660829618573189,0.215220242738724,0.0739864185452461,-0.164948523044586,0.0895866379141808,0.0350243113934994,0.0806983336806297,0.409515917301178,0.267733484506607,-0.582527458667755,0.282132744789124,0.149789482355118,-0.284684479236603,-0.324127584695816,-0.292992800474167,-0.319319635629654,-0.273453742265701,-0.352135330438614,0.088506281375885,-0.277641206979752,-0.140032812952995,0.853910863399506,-0.322441786527634,-0.0194639936089516,-0.370741456747055,-0.231551632285118
"smrrnanm",-0.101418733596802,-0.165686741471291,0.261232614517212,-0.776876509189606,-0.0292387343943119,-0.184012919664383,-0.361633211374283,-0.0885185375809669,0.186503425240517,-0.000600809929892421,0.0466170385479927,0.0347257032990456,0.218888163566589,0.133083254098892,0.141860440373421,0.127973303198814,0.296683669090271,0.777866005897522,1,0.339116990566254,0.14997810125351,0.221265107393265,0.0498570464551449,0.26944774389267,-0.0308551285415888,-0.0350419096648693,0.137745797634125,0.0523260198533535,-0.000804638490080833,-0.247965469956398,0.208846390247345,0.137956947088242,0.178376108407974,0.196850955486298,0.175882309675217,0.102407328784466,0.203310802578926,0.151157170534134,0.0570348352193832,0.200339570641518,-0.119244664907455,0.920404076576233,-0.195051684975624,0.0971711874008179,0.000600809929892421,-0.00295561319217086
"smrdttl",-0.196071475744247,-0.230739489197731,0.355384439229965,0.0484934076666832,-0.201753854751587,-0.231039986014366,0.176320418715477,-0.0865707993507385,0.258989155292511,-0.383484393358231,-0.0647589713335037,-0.0552049651741982,0.48995703458786,0.0417506545782089,0.67966091632843,-0.0487563498318195,0.858856737613678,-0.0475572980940342,0.339116990566254,1,0.349811345338821,0.131315618753433,0.169875025749207,0.805896699428558,-0.154107794165611,-0.11876168102026,0.218728959560394,-0.221871063113213,-0.365241438150406,0.0336095727980137,0.169545039534569,0.268518954515457,0.782560586929321,0.561135947704315,0.788657665252686,0.707451820373535,0.853501796722412,0.775196850299835,0.101837582886219,0.847341477870941,-0.0881727635860443,-0.00985869951546192,-0.220812782645226,0.150845676660538,0.383484393358231,0.290705412626266
"smvqcfl",-0.264452010393143,-0.581396400928497,0.0906273126602173,-0.0660461932420731,0.173157751560211,-0.483759343624115,0.03639892116189,-0.118598774075508,0.14246928691864,-0.208245784044266,-0.0333547368645668,-0.020034059882164,-0.105295941233635,0.0185096506029367,0.0253663305193186,-0.185090184211731,0.151743158698082,0.0660829618573189,0.14997810125351,0.349811345338821,1,0.128852874040604,0.120106548070908,0.0890938490629196,0.162163868546486,0.166783183813095,0.264692068099976,-0.0651324242353439,-0.324576735496521,-0.255363196134567,-0.145357847213745,0.449832856655121,0.0823289528489113,0.176641672849655,0.0942656770348549,0.0393929854035378,0.17862243950367,0.162955701351166,0.325425863265991,0.179884359240532,0.155371651053429,0.0424370691180229,-0.342385143041611,-0.188969239592552,0.208245784044266,0.341508150100708
"smmncv",-0.366429567337036,-0.297476053237915,-0.011564752086997,-0.215993642807007,0.571497917175293,-0.295110374689102,0.128010869026184,-0.354875028133392,-0.26815789937973,-0.18347279727459,0.104633055627346,-0.065889798104763,-0.00143628963269293,0.0143170300871134,0.00547773996368051,-0.192858010530472,-0.00666307890787721,0.215220242738724,0.221265107393265,0.131315618753433,0.128852874040604,1,-0.396049350500107,-0.0211610049009323,0.626347124576569,0.627350747585297,0.0150306494906545,-0.293619513511658,-0.258502870798111,-0.122349336743355,-0.177592217922211,0.340567886829376,-0.0569090954959393,-0.0237314980477095,-0.0488593503832817,-0.0345702357590199,-0.0296454932540655,0.00962739065289497,0.243709787726402,-0.0323559567332268,-0.0717230513691902,0.189890936017036,-0.28334704041481,-0.521252751350403,0.18347279727459,0.221985921263695
