"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smrdlgth","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smatsscr",1,0.00204305932857096,0.0461709834635258,-0.113150551915169,0.0470248162746429,-0.179790735244751,0.0387275740504265,-0.119993381202221,-0.129032850265503,-0.105477780103683,0.058924350887537,0.0155266858637333,0.0783854722976685,-0.0479047000408173,-0.0410703793168068,0.0387513935565948,-0.0455907620489597,-0.00917841680347919,-0.00394550152122974,0.179552108049393,0.0062302490696311,0.0573933757841587,0.0221159234642982,0.0386127084493637,0.0445167012512684,-0.0138706006109715,0.00859661679714918,-0.00570897245779634,0.019421424716711,0.103764370083809,-0.074150413274765,-0.124216511845589,-0.0106978928670287,0.0656940340995789,-0.0251891147345304,0.0118448054417968,-0.0201036166399717,-0.0434120297431946,-0.00972710177302361,-0.0151881882920861,0.0891876369714737,-0.0170789305120707,-0.136942014098167,-0.00788884237408638,-0.122341938316822,-0.0837766602635384,-0.0155266858637333,0.0904855132102966
"smrin",0.00204305932857096,1,-0.0866396278142929,0.100437268614769,-0.0174786448478699,0.118062429130077,0.0335207805037498,0.10223700851202,0.159789949655533,0.1195382848382,-0.111577846109867,0.039093866944313,-0.0800561979413033,-0.0629305392503738,0.101642236113548,0.0560972653329372,0.0224804859608412,0.0475263893604279,0.0366161093115807,-0.119737349450588,-0.0992989018559456,0.0439642481505871,-0.0150660583749413,-0.121274374425411,-0.0712496787309647,0.0363745540380478,0.0582665242254734,0.0778227150440216,-0.0326322801411152,-0.169140294194221,0.0302968565374613,0.158782914280891,0.0522927418351173,-0.0197335984557867,0.0348393470048904,0.00182900228537619,0.0334053747355938,0.0169874150305986,0.0394434556365013,0.109279103577137,0.0596909336745739,0.0389346443116665,-0.0283380448818207,-0.126947477459908,0.0952448099851608,0.00381519366055727,-0.039093866944313,-0.0402223244309425
"smtspax",0.0461709834635258,-0.0866396278142929,1,-0.185557067394257,0.00310949189588428,-0.126496344804764,-0.0225131791085005,-0.193398341536522,-0.173631280660629,-0.0689804777503014,0.0724010169506073,-0.143765091896057,-0.00272967270575464,0.0814855396747589,-0.0987766310572624,0.0360121168196201,-0.0691247805953026,-0.126262918114662,0.0165044404566288,0.127000898122787,0.0776323974132538,0.093237966299057,0.0979283899068832,0.007935905829072,0.0505632124841213,0.00117545493412763,-0.0292222369462252,-0.031022697687149,-0.0519343167543411,0.178750962018967,-0.197452664375305,-0.221289962530136,-0.0699496045708656,0.188153460621834,-0.0104952519759536,0.0587150156497955,-0.0024435818195343,-0.0521041490137577,0.0209570731967688,-0.00506511190906167,0.149704784154892,0.0139789786189795,-0.0986296236515045,0.0253619737923145,-0.191061764955521,-0.0304000955075026,0.143765091896057,0.16179047524929
"sme2mprt",-0.113150551915169,0.100437268614769,-0.185557067394257,1,0.0170270465314388,0.417914211750031,-0.240331679582596,0.990900993347168,0.285780519247055,0.22082394361496,0.00996446702629328,0.187982276082039,-0.158922031521797,-0.0616487041115761,0.300884336233139,-0.186106353998184,0.306184083223343,0.302126348018646,0.101873621344566,-0.417639523744583,-0.14001838862896,-0.247727230191231,-0.492709100246429,-0.103552274405956,0.0763177052140236,0.15610808134079,-0.193895980715752,-0.190959692001343,-0.134437248110771,-0.21674382686615,0.644106566905975,0.857764363288879,0.258922666311264,-0.853008210659027,0.187119260430336,-0.0728669613599777,0.171847462654114,0.287605375051498,0.0995953157544136,0.124376364052296,-0.688974976539612,0.112499907612801,0.354278445243835,-0.00615926459431648,0.952562093734741,0.335306167602539,-0.187982276082039,-0.526027977466583
"smchmprs",0.0470248162746429,-0.0174786448478699,0.00310949189588428,0.0170270465314388,1,-0.285597592592239,-0.668651700019836,0.0134955635294318,-0.249512583017349,0.141879364848137,0.760432958602905,-0.0367600582540035,0.266085565090179,-0.0830409973859787,0.640549719333649,-0.0202118381857872,0.64500105381012,0.608068466186523,0.675093591213226,0.285524845123291,0.374206900596619,0.61574798822403,0.167367532849312,-0.195080563426018,0.701772153377533,0.665036141872406,-0.641624867916107,-0.639637053012848,0.0762748941779137,0.223530739545822,0.127977728843689,-0.0718341395258904,0.728486895561218,-0.000336953293299302,0.652339398860931,0.693407952785492,0.657207787036896,0.607757389545441,0.674960732460022,0.583539307117462,-0.0384571254253387,0.670633435249329,0.00215604831464589,0.0320016592741013,-0.00214948272332549,0.520479738712311,0.0367600582540035,0.0723210424184799
"smntrart",-0.179790735244751,0.118062429130077,-0.126496344804764,0.417914211750031,-0.285597592592239,1,0.0778139382600784,0.43121936917305,0.751799404621124,0.179764837026596,-0.272093027830124,-0.121031887829304,-0.32428240776062,-0.0013613278279081,0.193628296256065,-0.0822790116071701,0.190015196800232,-0.0449079126119614,0.0937292352318764,-0.999919712543488,-0.230311006307602,-0.0958996191620827,-0.144953683018684,-0.0185330342501402,-0.176181852817535,0.115212745964527,0.147911936044693,0.169426679611206,-0.082062192261219,-0.594954252243042,0.179564401507378,0.654330015182495,0.0703343376517296,-0.358994722366333,0.154728263616562,-0.102979943156242,0.140950545668602,0.196131929755211,0.117546886205673,0.178138867020607,-0.328039228916168,0.131241008639336,0.378875106573105,-0.219235017895699,0.446497350931168,0.0344852581620216,0.121031887829304,-0.465353906154633
"smnumgps",0.0387275740504265,0.0335207805037498,-0.0225131791085005,-0.240331679582596,-0.668651700019836,0.0778139382600784,1,-0.240368500351906,0.23522025346756,-0.24068757891655,-0.739773035049438,-0.128876745700836,-0.182614237070084,0.0233373641967773,-0.695565462112427,-0.0236068200320005,-0.603206157684326,-0.72516530752182,-0.582362055778503,-0.0771933048963547,-0.241065129637718,-0.414243340492249,-0.0300839561969042,0.326532661914825,-0.731783509254456,-0.586297035217285,0.904474914073944,0.868547856807709,-0.0914039760828018,-0.266662836074829,-0.376781642436981,-0.108007475733757,-0.78681606054306,0.221030294895172,-0.592734694480896,-0.495798915624619,-0.588386118412018,-0.554702162742615,-0.582576632499695,-0.537978112697601,0.214997887611389,-0.582975804805756,-0.127822816371918,-0.0305369831621647,-0.228506311774254,-0.809701025485992,0.128876745700836,0.201135754585266
"smmaprt",-0.119993381202221,0.10223700851202,-0.193398341536522,0.990900993347168,0.0134955635294318,0.43121936917305,-0.240368500351906,1,0.296255886554718,0.238545194268227,0.00399522017687559,0.190063014626503,-0.164445951581001,-0.0635934621095657,0.300378561019897,-0.219546005129814,0.309829205274582,0.302859574556351,0.100114367902279,-0.43088099360466,-0.14336197078228,-0.25092214345932,-0.447901159524918,-0.106254689395428,0.0709576979279518,0.152423247694969,-0.193151220679283,-0.19077479839325,-0.0973814651370049,-0.224135220050812,0.648034393787384,0.869462549686432,0.257210373878479,-0.861500203609467,0.183707311749458,-0.0659122169017792,0.167701840400696,0.291538536548615,0.0982112810015678,0.124135479331017,-0.710576236248016,0.112403765320778,0.389411091804504,-0.00866856705397367,0.979244709014893,0.339493215084076,-0.190063014626503,-0.547758102416992
"smexncrt",-0.129032850265503,0.159789949655533,-0.173631280660629,0.285780519247055,-0.249512583017349,0.751799404621124,0.23522025346756,0.296255886554718,1,0.0930474773049355,-0.361619591712952,-0.284024596214294,-0.313974887132645,-0.0503691323101521,0.2690569460392,-0.0184969622641802,0.24616976082325,-0.143984094262123,0.172645434737206,-0.750922322273254,-0.0159450210630894,0.0577406622469425,-0.0477659404277802,0.0909098461270332,-0.291675359010696,0.185560435056686,0.33568999171257,0.373548984527588,-0.0419697016477585,-0.967134773731232,-0.0530963651835918,0.643440663814545,0.090421587228775,-0.213141858577728,0.209740623831749,0.0268712136894464,0.200845971703529,0.261693716049194,0.189633160829544,0.2405776232481,-0.188576638698578,0.199520647525787,0.236270219087601,-0.047138899564743,0.300197601318359,-0.104356564581394,0.284024596214294,-0.268520683050156
"sm550nrm",-0.105477780103683,0.1195382848382,-0.0689804777503014,0.22082394361496,0.141879364848137,0.179764837026596,-0.24068757891655,0.238545194268227,0.0930474773049355,1,0.106080524623394,0.170901119709015,-0.129138231277466,-0.0764288380742073,0.19172702729702,-0.0989899337291718,0.157851099967957,0.272592484951019,0.101760871708393,-0.182341232895851,-0.141364097595215,0.0120262512937188,-0.0678180158138275,-0.217588737607002,0.149544805288315,0.108674868941307,-0.211055546998978,-0.165828332304955,-0.00890244264155626,-0.0490004047751427,0.297726571559906,0.22688427567482,0.194956794381142,-0.188098192214966,0.121926754713058,0.0463532246649265,0.118125557899475,0.130633309483528,0.110520452260971,0.145769312977791,-0.194137692451477,0.114479064941406,0.136506542563438,-0.193622574210167,0.254836976528168,0.352588653564453,-0.170901119709015,-0.168532714247704
"smgnsdtc",0.058924350887537,-0.111577846109867,0.0724010169506073,0.00996446702629328,0.760432958602905,-0.272093027830124,-0.739773035049438,0.00399522017687559,-0.361619591712952,0.106080524623394,1,-0.0628402158617973,0.241290882229805,-0.0795405060052872,0.552269876003265,-0.0168537143617868,0.56072461605072,0.568761646747589,0.647413611412048,0.271126717329025,0.314094513654709,0.565381050109863,0.186931103467941,-0.243047788739204,0.975033521652222,0.636816561222076,-0.73620069026947,-0.72910088300705,0.0622301697731018,0.366683930158615,0.137490704655647,-0.131709739565849,0.687032401561737,-0.0371872186660767,0.621426999568939,0.58263623714447,0.624751627445221,0.545763731002808,0.639552772045135,0.586148202419281,-0.0563191622495651,0.637073695659637,0.0687549784779549,0.000809933699201792,-0.00139256520196795,0.580087661743164,0.0628402158617973,-0.0135393440723419
"smunmprt",0.0155266858637333,0.039093866944313,-0.143765091896057,0.187982276082039,-0.0367600582540035,-0.121031887829304,-0.128876745700836,0.190063014626503,-0.284024596214294,0.170901119709015,-0.0628402158617973,1,0.0116843925788999,0.0795404464006424,-0.0721707120537758,0.161647543311119,-0.320075005292892,0.546127915382385,-0.503610670566559,0.116841435432434,-0.459262043237686,-0.559810698032379,-0.183835595846176,0.0116214547306299,-0.0140570299699903,-0.487489610910416,-0.141829043626785,-0.132983043789864,-0.107803478837013,0.313869684934616,0.738849937915802,-0.0188262928277254,-0.0300403106957674,-0.209202408790588,-0.474665313959122,-0.407802760601044,-0.485466212034225,-0.421051979064941,-0.503574132919312,-0.447751760482788,-0.076280415058136,-0.499545067548752,0.00867332145571709,-0.189351305365562,0.196555450558662,0.178191870450974,-1,-0.192988350987434
"sm350nrm",0.0783854722976685,-0.0800561979413033,-0.00272967270575464,-0.158922031521797,0.266085565090179,-0.32428240776062,-0.182614237070084,-0.164445951581001,-0.313974887132645,-0.129138231277466,0.241290882229805,0.0116843925788999,1,0.0270320829004049,-0.0235214531421661,0.0268028415739536,0.0394449830055237,0.0714130401611328,0.0530124492943287,0.326063245534897,0.120131731033325,0.0607550553977489,0.0012072209501639,0.137834414839745,0.180605411529541,0.050483301281929,-0.17468586564064,-0.147164061665535,-0.046513382345438,0.293206632137299,-0.0265563707798719,-0.245345532894135,0.0534293204545975,0.152339488267899,0.0481148920953274,0.0958840772509575,0.0571429766714573,0.0439348593354225,0.0589105263352394,-0.0429551675915718,0.151593580842018,0.056763231754303,-0.0826212540268898,0.112359926104546,-0.158027470111847,0.015395388007164,-0.0116843925788999,0.210902348160744
"smrdlgth",-0.0479047000408173,-0.0629305392503738,0.0814855396747589,-0.0616487041115761,-0.0830409973859787,-0.0013613278279081,0.0233373641967773,-0.0635934621095657,-0.0503691323101521,-0.0764288380742073,-0.0795405060052872,0.0795404464006424,0.0270320829004049,1,-0.0488133281469345,-0.0534807369112968,-0.0635972619056702,-0.000972377078142017,-0.0760398879647255,-0.000194475418538786,0.0270320829004049,-0.0814851969480515,-0.0495912283658981,0.0581481494009495,-0.0764288529753685,-0.0752619877457619,0.0363669022917747,0.0414232611656189,-0.00523663591593504,0.0589260496199131,0.00525083625689149,-0.0639824122190475,-0.0682608708739281,-0.00213922956027091,-0.0756509378552437,-0.0826520472764969,-0.0756509378552437,-0.0630118697881699,-0.0764288380742073,-0.0682608708739281,-0.0484243780374527,-0.0764288380742073,-0.0709835290908813,0.0740951374173164,-0.0632045120000839,-0.0527092330157757,-0.0795404464006424,0.0573702454566956
"smmncpb",-0.0410703793168068,0.101642236113548,-0.0987766310572624,0.300884336233139,0.640549719333649,0.193628296256065,-0.695565462112427,0.300378561019897,0.2690569460392,0.19172702729702,0.552269876003265,-0.0721707120537758,-0.0235214531421661,-0.0488133281469345,1,0.0336994789540768,0.863547921180725,0.705971002578735,0.818320095539093,-0.19447261095047,0.374477505683899,0.630132734775543,0.0833749175071716,-0.157114028930664,0.55683559179306,0.823598742485046,-0.556847751140594,-0.518602669239044,0.10066282749176,-0.273048311471939,0.243217706680298,0.384141474962234,0.963828802108765,-0.275566428899765,0.82533323764801,0.64468914270401,0.817542612552643,0.81841641664505,0.812273621559143,0.814906001091003,-0.259003579616547,0.814997911453247,0.15588116645813,0.0644485652446747,0.280218571424484,0.623654067516327,0.0721707120537758,-0.261447757482529
"sme1mmrt",0.0387513935565948,0.0560972653329372,0.0360121168196201,-0.186106353998184,-0.0202118381857872,-0.0822790116071701,-0.0236068200320005,-0.219546005129814,-0.0184969622641802,-0.0989899337291718,-0.0168537143617868,0.161647543311119,0.0268028415739536,-0.0534807369112968,0.0336994789540768,1,-0.218449637293816,0.0874443203210831,-0.0664341300725937,0.0810047015547752,0.034794632345438,-0.035919975489378,0.138620316982269,0.0452120378613472,-0.00982560496777296,-0.079405888915062,-0.0478924959897995,-0.0288408622145653,0.0809697583317757,-0.0156418010592461,0.0255537368357182,-0.136509552598,0.0270247105509043,0.226940259337425,-0.0774475634098053,0.0307700615376234,-0.0841395407915115,-0.247347220778465,-0.0727155730128288,-0.0483918488025665,0.675379574298859,-0.0672933831810951,0.0633755922317505,0.0681545957922935,-0.267053633928299,0.0326336398720741,-0.161647543311119,-0.0824999734759331
"smsflgth",-0.0455907620489597,0.0224804859608412,-0.0691247805953026,0.306184083223343,0.64500105381012,0.190015196800232,-0.603206157684326,0.309829205274582,0.24616976082325,0.157851099967957,0.56072461605072,-0.320075005292892,0.0394449830055237,-0.0635972619056702,0.863547921180725,-0.218449637293816,1,0.460081070661545,0.899651229381561,-0.18872095644474,0.444108456373215,0.689576327800751,0.0889540389180183,-0.135501727461815,0.547491550445557,0.916558861732483,-0.494879961013794,-0.479110687971115,0.0360939279198647,-0.240840598940849,0.0687875598669052,0.389995366334915,0.849713087081909,-0.295477151870728,0.928015053272247,0.707742989063263,0.923540651798248,0.978319346904755,0.901113390922546,0.822449684143066,-0.398470878601074,0.906136453151703,0.194556877017021,0.098787322640419,0.29928120970726,0.525506377220154,0.320075005292892,-0.184801504015923
"smestlbs",-0.00917841680347919,0.0475263893604279,-0.126262918114662,0.302126348018646,0.608068466186523,-0.0449079126119614,-0.72516530752182,0.302859574556351,-0.143984094262123,0.272592484951019,0.568761646747589,0.546127915382385,0.0714130401611328,-0.000972377078142017,0.705971002578735,0.0874443203210831,0.460081070661545,1,0.347888618707657,0.0415596589446068,0.0457739531993866,0.178582295775414,-0.0410344190895557,-0.207746833562851,0.592453241348267,0.353216767311096,-0.653233766555786,-0.628456830978394,0.0620342344045639,0.164898604154587,0.680794358253479,0.168430238962173,0.765068471431732,-0.305298626422882,0.355912685394287,0.293868780136108,0.347454845905304,0.368020713329315,0.342414200305939,0.35822919011116,-0.233086168766022,0.344257801771164,0.119502052664757,-0.0664840191602707,0.292723506689072,0.669800579547882,-0.546127915382385,-0.276033103466034
"smmppd",-0.00394550152122974,0.0366161093115807,0.0165044404566288,0.101873621344566,0.675093591213226,0.0937292352318764,-0.582362055778503,0.100114367902279,0.172645434737206,0.101760871708393,0.647413611412048,-0.503610670566559,0.0530124492943287,-0.0760398879647255,0.818320095539093,-0.0664341300725937,0.899651229381561,0.347888618707657,1,-0.0925315991044044,0.551729440689087,0.869656801223755,0.207096323370934,-0.220185205340385,0.62174117565155,0.995027124881744,-0.491294056177139,-0.474237412214279,0.118294581770897,-0.185284838080406,-0.15211233496666,0.205504909157753,0.832956612110138,-0.0795166715979576,0.985841453075409,0.800685286521912,0.988180577754974,0.922617316246033,0.993612170219421,0.939902484416962,-0.132482409477234,0.992251813411713,0.112170353531837,0.116216361522675,0.0807189866900444,0.460293501615524,0.503610670566559,-0.0543558858335018
"smnterrt",0.179552108049393,-0.119737349450588,0.127000898122787,-0.417639523744583,0.285524845123291,-0.999919712543488,-0.0771933048963547,-0.43088099360466,-0.750922322273254,-0.182341232895851,0.271126717329025,0.116841435432434,0.326063245534897,-0.000194475418538786,-0.19447261095047,0.0810047015547752,-0.18872095644474,0.0415596589446068,-0.0925315991044044,1,0.232889205217361,0.0968705639243126,0.145623967051506,0.0202992279082537,0.174571871757507,-0.113956093788147,-0.147524192929268,-0.169289484620094,0.0822361335158348,0.59390252828598,-0.182589814066887,-0.653411269187927,-0.0712598487734795,0.358921974897385,-0.153254583477974,0.104659050703049,-0.139435037970543,-0.194422662258148,-0.116148665547371,-0.17827545106411,0.327421933412552,-0.129816368222237,-0.378318190574646,0.221887856721878,-0.446112632751465,-0.0356874950230122,-0.116841435432434,0.465910702943802
"smrrnanm",0.0062302490696311,-0.0992989018559456,0.0776323974132538,-0.14001838862896,0.374206900596619,-0.230311006307602,-0.241065129637718,-0.14336197078228,-0.0159450210630894,-0.141364097595215,0.314094513654709,-0.459262043237686,0.120131731033325,0.0270320829004049,0.374477505683899,0.034794632345438,0.444108456373215,0.0457739531993866,0.551729440689087,0.232889205217361,1,0.599010348320007,0.204221531748772,-0.0924202129244804,0.24224017560482,0.53142511844635,-0.219919338822365,-0.218446776270866,0.150127977132797,-0.0795015841722488,-0.342936724424362,-0.0831086784601212,0.384292095899582,0.142404451966286,0.508910179138184,0.58836817741394,0.516187429428101,0.47573110461235,0.540196776390076,0.451795041561127,0.0648332089185715,0.533379077911377,-0.0936785265803337,0.820744872093201,-0.160381987690926,0.157013848423958,0.459262043237686,0.182908281683922
"smrdttl",0.0573933757841587,0.0439642481505871,0.093237966299057,-0.247727230191231,0.61574798822403,-0.0958996191620827,-0.414243340492249,-0.25092214345932,0.0577406622469425,0.0120262512937188,0.565381050109863,-0.559810698032379,0.0607550553977489,-0.0814851969480515,0.630132734775543,-0.035919975489378,0.689576327800751,0.178582295775414,0.869656801223755,0.0968705639243126,0.599010348320007,1,0.363652884960175,-0.15578855574131,0.511374235153198,0.836075901985168,-0.340183913707733,-0.321644127368927,0.150899350643158,-0.10587540268898,-0.462413042783737,-0.132281213998795,0.649740636348724,0.227403774857521,0.807713687419891,0.803070604801178,0.818736493587494,0.721768736839294,0.866304039955139,0.811314463615417,0.1226756721735,0.853654682636261,-0.141915753483772,0.0907029211521149,-0.268946290016174,0.260077685117722,0.559810698032379,0.234523192048073
"smvqcfl",0.0221159234642982,-0.0150660583749413,0.0979283899068832,-0.492709100246429,0.167367532849312,-0.144953683018684,-0.0300839561969042,-0.447901159524918,-0.0477659404277802,-0.0678180158138275,0.186931103467941,-0.183835595846176,0.0012072209501639,-0.0495912283658981,0.0833749175071716,0.138620316982269,0.0889540389180183,-0.0410344190895557,0.207096323370934,0.145623967051506,0.204221531748772,0.363652884960175,1,0.00800846982747316,0.155186221003532,0.171728983521461,-0.0193269327282906,-0.028855049982667,0.149958908557892,0.0202993787825108,-0.364281833171844,-0.345060616731644,0.0980937033891678,0.396640360355377,0.158376425504684,0.382564395666122,0.158766269683838,0.0981043428182602,0.207874968647957,0.19227309525013,0.332919120788574,0.212237328290939,0.121202364563942,-0.000798198219854385,-0.378959536552429,-0.0837036147713661,0.183835595846176,0.0871756672859192
