"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smatsscr",1,-0.0128767769783735,0.0416257865726948,-0.138756334781647,-0.0243327040225267,-0.0491437464952469,0.0934808552265167,-0.135614395141602,-0.0246548913419247,0.0401473008096218,0.00847247429192066,-0.0996975302696228,-0.0255181659013033,-0.0560466982424259,-0.00162926071789116,-0.0240502487868071,-0.100448757410049,0.0153369084000587,0.0490878038108349,0.0122927464544773,0.0861838087439537,0.0201059989631176,0.0874660685658455,0.00455440813675523,0.0107030496001244,0.109263710677624,0.104470998048782,-0.0352183543145657,0.0179855916649103,-0.151038691401482,-0.11445540189743,-0.0416328981518745,0.0922889932990074,0.00714309560135007,0.0310832411050797,0.0084654102101922,-0.0253606401383877,0.018384151160717,0.0108321197330952,0.0849758088588715,0.0159632861614227,-0.075018972158432,-0.0456554628908634,-0.119021490216255,-0.107341192662716,0.0996975302696228,0.0206414926797152
"smrin",-0.0128767769783735,1,-0.0723258331418037,0.0211457293480635,0.149822846055031,0.118553921580315,-0.0833639577031136,0.0366287045180798,0.267261952161789,0.0533914268016815,0.0143136885017157,0.102064788341522,-0.253285527229309,0.231413438916206,-0.0363337807357311,0.167744264006615,0.211813539266586,0.129398256540298,-0.12039016187191,-0.120373487472534,0.122551992535591,0.135432511568069,-0.0213692877441645,0.0258709397166967,0.13140095770359,-0.0605402588844299,-0.0498537607491016,0.0539899207651615,-0.256061226129532,0.0774519070982933,0.17536486685276,0.171399727463722,0.0118872299790382,0.129157021641731,0.105509892106056,0.131211459636688,0.126689985394478,0.134715348482132,0.246625229716301,-0.00816401839256287,0.129850879311562,-0.18944638967514,-0.224549666047096,0.0552481561899185,0.177697151899338,-0.102064788341522,0.0843115970492363
"smtspax",0.0416257865726948,-0.0723258331418037,1,-0.0812523514032364,-0.000245177303440869,-0.0989203676581383,0.0720041543245316,-0.0847250670194626,0.000849439878948033,-0.169215679168701,-0.00299788569100201,-0.0910864099860191,0.081860713660717,-0.0474722273647785,-0.0143641158938408,-0.0254966281354427,-0.0940734222531319,-0.0156264193356037,0.0987401157617569,0.0124142719432712,0.0243496224284172,0.0266668796539307,0.165701046586037,-0.00855580251663923,-0.0120828514918685,0.0617393925786018,0.0535675026476383,-0.0366788953542709,-0.0181820783764124,-0.103011310100555,-0.0834925472736359,-0.0426460318267345,0.0802527293562889,-0.0172253642231226,0.00591220334172249,-0.0171228908002377,-0.016753189265728,-0.0167097449302673,-0.0415093526244164,0.0584785304963589,-0.0177771188318729,-0.0137889320030808,-0.00971548724919558,-0.0916075333952904,-0.107015855610371,0.0910864099860191,0.0773684829473495
"sme2mprt",-0.138756334781647,0.0211457293480635,-0.0812523514032364,1,0.0227546691894531,0.29667255282402,-0.210542380809784,0.988154470920563,0.176552847027779,0.147577166557312,-0.0880690515041351,0.387397915124893,-0.0347992144525051,0.213094130158424,-0.25479781627655,0.177369266748428,0.380057036876678,-0.0309619326144457,-0.297699838876724,-0.0973421633243561,-0.297479629516602,-0.514397799968719,-0.18190523982048,-0.0402142778038979,0.00186486367601901,-0.200450032949448,-0.174488410353661,-0.0971687883138657,-0.124265246093273,0.685276448726654,0.754961848258972,0.182551696896553,-0.840106725692749,0.0062266574241221,-0.209600403904915,-0.00190579704940319,0.150319993495941,-0.0430087372660637,0.0273490753024817,-0.651294469833374,-0.0361121855676174,0.340253978967667,0.0588033422827721,0.944892823696136,0.219583794474602,-0.387397915124893,-0.438678443431854
"smchmprs",-0.0243327040225267,0.149822846055031,-0.000245177303440869,0.0227546691894531,1,0.017743306234479,-0.636367738246918,0.0157785080373287,0.0148491822183132,0.100293025374413,0.724273800849915,-0.318381577730179,0.100969977676868,0.771719038486481,0.12143125385046,0.841088891029358,0.307188719511032,0.906389534473419,-0.0173201411962509,0.484437435865402,0.787812888622284,0.249438643455505,-0.212331354618073,0.663452446460724,0.909386694431305,-0.544078648090363,-0.553892493247986,0.0757126435637474,-0.00743997609242797,-0.139335751533508,0.100043192505836,0.77747654914856,0.0186362154781818,0.9031041264534,0.799830079078674,0.902767360210419,0.817320883274078,0.896674811840057,0.896847009658813,0.00839696824550629,0.898136556148529,0.10532995313406,0.0658743530511856,0.009495391510427,0.517497718334198,0.318381577730179,-0.1209986358881
"smntrart",-0.0491437464952469,0.118553921580315,-0.0989203676581383,0.29667255282402,0.017743306234479,1,-0.0983792766928673,0.30006605386734,0.423995643854141,0.109634563326836,-0.209106653928757,0.184230238199234,-0.145584151148796,0.270018219947815,-0.0580397211015224,0.189970389008522,0.246663376688957,0.0486261956393719,-0.999896705150604,-0.324117332696915,-0.0777320116758347,-0.166097357869148,-0.0489290989935398,-0.160974130034447,0.059850100427866,-0.0559292733669281,-0.0286180078983307,0.0141831561923027,-0.27271980047226,0.254368990659714,0.468288838863373,0.172545343637466,-0.337304323911667,0.0749632269144058,-0.180741876363754,0.0718390345573425,0.134840086102486,0.0540034174919128,0.174884185194969,-0.268890142440796,0.0586249232292175,0.241525858640671,-0.33309543132782,0.294353753328323,0.154455438256264,-0.184230238199234,-0.22463196516037
"smnumgps",0.0934808552265167,-0.0833639577031136,0.0720041543245316,-0.210542380809784,-0.636367738246918,-0.0983792766928673,1,-0.203012257814407,0.196144118905067,-0.302062124013901,-0.684554398059845,-0.151755318045616,0.0395622774958611,-0.786487638950348,-0.131907343864441,-0.60725998878479,-0.686615586280823,-0.679398477077484,0.0994551256299019,-0.208859011530876,-0.522267282009125,-0.119156025350094,0.550659894943237,-0.66953706741333,-0.685056149959564,0.905742526054382,0.880470931529999,-0.00282616540789604,-0.233302876353264,-0.28662571310997,-0.0901813507080078,-0.851643323898315,0.132354229688644,-0.689995586872101,-0.541449725627899,-0.684780180454254,-0.595341444015503,-0.677224338054657,-0.641853988170624,0.126292765140533,-0.680475354194641,-0.137725546956062,0.0578884370625019,-0.209100097417831,-0.837226808071136,0.151755318045616,0.312243461608887
"smmaprt",-0.135614395141602,0.0366287045180798,-0.0847250670194626,0.988154470920563,0.0157785080373287,0.30006605386734,-0.203012257814407,1,0.186920553445816,0.148368179798126,-0.090584471821785,0.395965963602066,-0.0312052741646767,0.214289665222168,-0.293069303035736,0.18162328004837,0.38848814368248,-0.0337756015360355,-0.301186770200729,-0.10760286450386,-0.301955193281174,-0.456643462181091,-0.175997003912926,-0.0421642549335957,-0.00254830834455788,-0.194692984223366,-0.170969277620316,-0.036910455673933,-0.134857088327408,0.694149672985077,0.768326699733734,0.182536453008652,-0.851350367069244,0.000993408379144967,-0.208337396383286,-0.00677939783781767,0.156202852725983,-0.045412790030241,0.0280384495854378,-0.677215099334717,-0.0384902693331242,0.352531433105469,0.0511664599180222,0.974689424037933,0.216538354754448,-0.395965963602066,-0.410128325223923
"smexncrt",-0.0246548913419247,0.267261952161789,0.000849439878948033,0.176552847027779,0.0148491822183132,0.423995643854141,0.196144118905067,0.186920553445816,1,-0.117562636733055,-0.323325455188751,-0.099690318107605,-0.00179005460813642,0.201962262392044,0.0566468574106693,0.11590464413166,-0.0674303770065308,-0.0168975405395031,-0.424416273832321,-0.0385029725730419,-0.0777977928519249,-0.0411506481468678,0.310214132070541,-0.272017389535904,-0.0108896633610129,0.235030487179756,0.267259865999222,0.0687495097517967,-0.974873185157776,-0.0271514672785997,0.684875011444092,0.00419890740886331,-0.15980888903141,-0.0122994622215629,-0.0860473960638046,-0.0105060199275613,0.0777321010828018,-0.0190523248165846,0.140888959169388,-0.0383914634585381,-0.0173486527055502,0.0966679006814957,-0.00982751604169607,0.180220752954483,-0.0935793668031693,0.099690318107605,0.0087573230266571
"sm550nrm",0.0401473008096218,0.0533914268016815,-0.169215679168701,0.147577166557312,0.100293025374413,0.109634563326836,-0.302062124013901,0.148368179798126,-0.117562636733055,1,0.123448714613914,0.166005328297615,-0.157497987151146,0.191575646400452,-0.0188600793480873,0.141385838389397,0.271275579929352,0.149044275283813,-0.110420204699039,-0.0346744395792484,0.0706254318356514,0.0404985398054123,-0.287896156311035,0.135523930191994,0.153350740671158,-0.284267723560333,-0.228007107973099,-0.0257780868560076,0.147416263818741,0.205410525202751,0.049449659883976,0.22063884139061,-0.10766214877367,0.1571996062994,0.104308724403381,0.154368713498116,0.133156687021255,0.150779843330383,0.170079469680786,-0.134869784116745,0.149978682398796,0.0573294647037983,-0.0882531404495239,0.148747861385345,0.357169896364212,-0.166005328297615,-0.110583938658237
"smgnsdtc",0.00847247429192066,0.0143136885017157,-0.00299788569100201,-0.0880690515041351,0.724273800849915,-0.209106653928757,-0.684554398059845,-0.090584471821785,-0.323325455188751,0.123448714613914,1,-0.123475253582001,0.0185999646782875,0.598678171634674,0.0546234138309956,0.645022749900818,0.418652981519699,0.780580818653107,0.207902789115906,0.3808873295784,0.703615009784698,0.324609369039536,-0.376907348632812,0.978761672973633,0.772301852703094,-0.642813742160797,-0.668423652648926,0.0464415736496449,0.325065135955811,-0.0105287581682205,-0.192150935530663,0.713763654232025,0.121977798640728,0.770256578922272,0.684891819953918,0.769618630409241,0.65549910068512,0.779051184654236,0.704960763454437,0.00895564816892147,0.778517484664917,0.00420702947303653,0.00640846602618694,-0.0723022371530533,0.559180974960327,0.123475253582001,-0.0799083635210991
"smunmprt",-0.0996975302696228,0.102064788341522,-0.0910864099860191,0.387397915124893,-0.318381577730179,0.184230238199234,-0.151755318045616,0.395965963602066,-0.099690318107605,0.166005328297615,-0.123475253582001,1,-0.234503373503685,0.0192640479654074,-0.00249890610575676,-0.286025732755661,0.67061048746109,-0.358621805906296,-0.186959505081177,-0.547510862350464,-0.487131148576736,-0.210459724068642,-0.25031915307045,-0.0429290011525154,-0.344126909971237,-0.167965099215508,-0.138768330216408,-0.103203266859055,0.148569166660309,0.853889346122742,0.200114607810974,0.0296723917126656,-0.292119354009628,-0.337063819169998,-0.421898186206818,-0.346820622682571,-0.348107039928436,-0.360512375831604,-0.250205367803574,-0.232906684279442,-0.357456773519516,0.0642282739281654,-0.319413542747498,0.422305256128311,0.237518101930618,-1,-0.315566509962082
"sm350nrm",-0.0255181659013033,-0.253285527229309,0.081860713660717,-0.0347992144525051,0.100969977676868,-0.145584151148796,0.0395622774958611,-0.0312052741646767,-0.00179005460813642,-0.157497987151146,0.0185999646782875,-0.234503373503685,1,-0.055851623415947,0.00881900452077389,0.0160369835793972,-0.197881355881691,0.0507310107350349,0.148376926779747,0.230483442544937,0.0593032874166965,-0.0735596418380737,0.202130228281021,-0.0146227842196822,0.0493062511086464,0.0545506663620472,0.0696122646331787,0.0683143138885498,-0.0314723290503025,-0.150447025895119,-0.0146145923063159,-0.0504461713135242,0.0328138098120689,0.0454147681593895,0.0435792617499828,0.0496004074811935,0.0542137660086155,0.0471037589013577,-0.0340079329907894,0.0570796206593513,0.048993181437254,0.0918581038713455,0.213458314538002,-0.0420350879430771,-0.132036879658699,0.234503373503685,0.0647530630230904
"smmncpb",-0.0560466982424259,0.231413438916206,-0.0474722273647785,0.213094130158424,0.771719038486481,0.270018219947815,-0.786487638950348,0.214289665222168,0.201962262392044,0.191575646400452,0.598678171634674,0.0192640479654074,-0.055851623415947,1,0.124832101166248,0.802611768245697,0.659699082374573,0.815652906894684,-0.271653294563293,0.281918495893478,0.655119895935059,0.153835162520409,-0.27551144361496,0.584643602371216,0.822580218315125,-0.67378157377243,-0.66576737165451,0.0514979101717472,-0.161123543977737,0.178289264440536,0.332034379243851,0.964611887931824,-0.149251490831375,0.823698937892914,0.626145362854004,0.820378303527832,0.77079701423645,0.810417354106903,0.85892641544342,-0.134990051388741,0.81248551607132,0.124001458287239,-0.0551405176520348,0.222310051321983,0.69407719373703,-0.0192640479654074,-0.257206827402115
"sme1mmrt",-0.00162926071789116,-0.0363337807357311,-0.0143641158938408,-0.25479781627655,0.12143125385046,-0.0580397211015224,-0.131907343864441,-0.293069303035736,0.0566468574106693,-0.0188600793480873,0.0546234138309956,-0.00249890610575676,0.00881900452077389,0.124832101166248,1,-0.183081611990929,0.0557031333446503,0.0729064047336578,0.0594591163098812,0.115421965718269,0.0830420479178429,0.116004064679146,-0.00648524286225438,0.0295065529644489,0.0675320029258728,-0.133372515439987,-0.140578150749207,0.0633673742413521,-0.0770663544535637,-0.123350597918034,-0.0692935511469841,0.116989001631737,0.400414973497391,0.0740954428911209,0.128093779087067,0.0681231394410133,-0.19675025343895,0.0651824325323105,0.0426524765789509,0.77504563331604,0.0745931342244148,0.279396623373032,0.095078133046627,-0.345357179641724,0.145209401845932,0.00249890610575676,-0.257994443178177
"smsflgth",-0.0240502487868071,0.167744264006615,-0.0254966281354427,0.177369266748428,0.841088891029358,0.189970389008522,-0.60725998878479,0.18162328004837,0.11590464413166,0.141385838389397,0.645022749900818,-0.286025732755661,0.0160369835793972,0.802611768245697,-0.183081611990929,1,0.334050565958023,0.893547177314758,-0.190349414944649,0.403112590312958,0.749247372150421,0.188207015395164,-0.213342785835266,0.61096853017807,0.902164220809937,-0.514975666999817,-0.522188007831573,0.0283770002424717,-0.0789802521467209,-0.067602276802063,0.237253576517105,0.802660584449768,-0.195503041148186,0.89946973323822,0.694413065910339,0.899976789951324,0.980199933052063,0.889045834541321,0.899528026580811,-0.324368357658386,0.887294352054596,0.0260869935154915,-0.00335426069796085,0.187756985425949,0.497214257717133,0.286025732755661,-0.0403142273426056
"smestlbs",-0.100448757410049,0.211813539266586,-0.0940734222531319,0.380057036876678,0.307188719511032,0.246663376688957,-0.686615586280823,0.38848814368248,-0.0674303770065308,0.271275579929352,0.418652981519699,0.67061048746109,-0.197881355881691,0.659699082374573,0.0557031333446503,0.334050565958023,1,0.331372678279877,-0.2501520216465,-0.170141011476517,0.154308021068573,-0.0239245127886534,-0.439374148845673,0.461414605379105,0.340149611234665,-0.631122887134552,-0.61445540189743,-0.0360391810536385,0.124834641814232,0.719242572784424,0.261041104793549,0.68647563457489,-0.285760879516602,0.346061795949936,0.16457012295723,0.338526695966721,0.279896885156631,0.329172164201736,0.406020015478134,-0.250854104757309,0.33148729801178,0.130043908953667,-0.280040949583054,0.418120741844177,0.676638245582581,-0.67061048746109,-0.388457268476486
"smmppd",0.0153369084000587,0.129398256540298,-0.0156264193356037,-0.0309619326144457,0.906389534473419,0.0486261956393719,-0.679398477077484,-0.0337756015360355,-0.0168975405395031,0.149044275283813,0.780580818653107,-0.358621805906296,0.0507310107350349,0.815652906894684,0.0729064047336578,0.893547177314758,0.331372678279877,1,-0.0487687550485134,0.523754835128784,0.904280781745911,0.332119911909103,-0.245977386832237,0.716325581073761,0.998382449150085,-0.586802423000336,-0.607677102088928,0.0640444457530975,0.0364176332950592,-0.180239394307137,0.0306251496076584,0.855174362659454,0.0460592545568943,0.996760904788971,0.823441803455353,0.997754871845245,0.910818696022034,0.99826443195343,0.946127593517303,-0.00844524148851633,0.998145282268524,0.0526512153446674,0.052509356290102,-0.0320022031664848,0.547581493854523,0.358621805906296,-0.0657308027148247
"smnterrt",0.0490878038108349,-0.12039016187191,0.0987401157617569,-0.297699838876724,-0.0173201411962509,-0.999896705150604,0.0994551256299019,-0.301186770200729,-0.424416273832321,-0.110420204699039,0.207902789115906,-0.186959505081177,0.148376926779747,-0.271653294563293,0.0594591163098812,-0.190349414944649,-0.2501520216465,-0.0487687550485134,1,0.325784862041473,0.0779454335570335,0.166666477918625,0.0532448813319206,0.158777847886086,-0.0599971786141396,0.0565432719886303,0.0291583277285099,-0.0132606811821461,0.273124635219574,-0.257142305374146,-0.46937483549118,-0.174277529120445,0.338838338851929,-0.0751207545399666,0.181850746273994,-0.0719649419188499,-0.134864643216133,-0.0542188100516796,-0.176351293921471,0.27083545923233,-0.0587813183665276,-0.240124523639679,0.33451384305954,-0.295827627182007,-0.155501633882523,0.186959505081177,0.225502148270607
"smrrnanm",0.0122927464544773,-0.120373487472534,0.0124142719432712,-0.0973421633243561,0.484437435865402,-0.324117332696915,-0.208859011530876,-0.10760286450386,-0.0385029725730419,-0.0346744395792484,0.3808873295784,-0.547510862350464,0.230483442544937,0.281918495893478,0.115421965718269,0.403112590312958,-0.170141011476517,0.523754835128784,0.325784862041473,1,0.536925196647644,0.244971558451653,0.0246579255908728,0.309561133384705,0.516503751277924,-0.183910593390465,-0.207557693123817,0.0305440574884415,-0.0413793101906776,-0.391113817691803,-0.0667926669120789,0.313373327255249,0.140991717576981,0.510426104068756,0.644461750984192,0.514618515968323,0.457479447126389,0.523043155670166,0.380910962820053,0.140613436698914,0.524189293384552,0.0830505266785622,0.818044304847717,-0.114387340843678,0.108957380056381,0.547510862350464,0.0642087906599045
"smrdttl",0.0861838087439537,0.122551992535591,0.0243496224284172,-0.297479629516602,0.787812888622284,-0.0777320116758347,-0.522267282009125,-0.301955193281174,-0.0777977928519249,0.0706254318356514,0.703615009784698,-0.487131148576736,0.0593032874166965,0.655119895935059,0.0830420479178429,0.749247372150421,0.154308021068573,0.904280781745911,0.0779454335570335,0.536925196647644,1,0.456091016530991,-0.127378150820732,0.623011469841003,0.891527652740479,-0.431717902421951,-0.455510318279266,0.062280710786581,0.0681663304567337,-0.419492721557617,-0.217367008328438,0.698753654956818,0.258389204740524,0.88621199131012,0.825452029705048,0.891862154006958,0.784094095230103,0.908551692962646,0.827592670917511,0.155860096216202,0.904093325138092,-0.128531083464622,0.0267212465405464,-0.297131270170212,0.386335521936417,0.487131148576736,0.129335194826126
"smvqcfl",0.0201059989631176,0.135432511568069,0.0266668796539307,-0.514397799968719,0.249438643455505,-0.166097357869148,-0.119156025350094,-0.456643462181091,-0.0411506481468678,0.0404985398054123,0.324609369039536,-0.210459724068642,-0.0735596418380737,0.153835162520409,0.116004064679146,0.188207015395164,-0.0239245127886534,0.332119911909103,0.166666477918625,0.244971558451653,0.456091016530991,1,0.0365999974310398,0.286778926849365,0.30928960442543,-0.102660834789276,-0.12285290658474,0.0570345222949982,0.0174260027706623,-0.349168479442596,-0.354708611965179,0.185893550515175,0.460215955972672,0.308703541755676,0.494242817163467,0.313225120306015,0.213728368282318,0.343394935131073,0.290904611349106,0.319344222545624,0.343849420547485,-0.0565267503261566,0.0112150134518743,-0.360869765281677,0.0971575900912285,0.210459724068642,0.314323842525482
"smmncv",0.0874660685658455,-0.0213692877441645,0.165701046586037,-0.18190523982048,-0.212331354618073,-0.0489290989935398,0.550659894943237,-0.175997003912926,0.310214132070541,-0.287896156311035,-0.376907348632812,-0.25031915307045,0.202130228281021,-0.27551144361496,-0.00648524286225438,-0.213342785835266,-0.439374148845673,-0.245977386832237,0.0532448813319206,0.0246579255908728,-0.127378150820732,0.0365999974310398,1,-0.424306899309158,-0.252556085586548,0.585561454296112,0.565296769142151,0.0492716133594513,-0.351104497909546,-0.335018575191498,0.00579078868031502,-0.375369727611542,0.208683222532272,-0.260164588689804,-0.107273705303669,-0.252753973007202,-0.188598766922951,-0.246449679136276,-0.257429957389832,0.212577238678932,-0.249109208583832,-0.0867463797330856,0.0945649147033691,-0.183178961277008,-0.51272177696228,0.25031915307045,0.317170977592468
